id,province_city,city_mun_brgy,latitude,longitude
112,Misamis Oriental,Salay,8.8833333,124.8166667
113,Misamis Oriental,Sugbongcogon,8.9561111,124.7872222
114,Misamis Oriental,Tagoloan,8.5391667,124.7538889
115,Misamis Oriental,Talisayan,8.9958333,124.8836111
116,Misamis Oriental,Villanueva,8.5858333,124.7702778
117,Agusan del Sur,Bayugan,8.7144,125.7481
118,Agusan del Sur,Bunawan,8.2165,126.0458
119,Agusan del Sur,Esperanza,8.5655,125.522
120,Agusan del Sur,La Paz,8.2611,125.6095
121,Agusan del Sur,Loreto,8.1141,125.6095
122,Agusan del Sur,Prosperidad,8.6024,125.8716
123,Agusan del Sur,Rosario,8.3126,126.0036
124,Agusan del Sur,San Francisco,8.509,125.9697
125,Agusan del Sur,San Luis,8.4176,125.522
126,Agusan del Sur,Santa Josefa,7.9836,126.0277
127,Agusan del Sur,Sibagat,8.9661,125.7625
128,Agusan del Sur,Talacogon,8.3697,125.8062
129,Agusan del Sur,Trento,8.0526,126.2197
130,Agusan del Sur,Veruela,8.0307,125.8934
131,Basilan,Akbar,6.6491,122.2143
132,Basilan,Al-Barka,6.5586,122.087
133,Basilan,Hadji Mohammad Ajul,6.6423,122.2732
134,Basilan,Hadji Muhtamad,6.6496,121.987
135,Basilan,Lamitan,6.6615,122.1065
136,Basilan,Lantawan,6.5978,121.9024
137,Basilan,Maluso,6.5654,121.9105
138,Basilan,Sumisip,6.45,121.9666
139,Basilan,Tabuan-Lasa,6.318,121.9289
140,Basilan,Tipo-Tipo,6.5372,122.1633
141,Basilan,Tuburan,6.6079,122.2087
142,Basilan,Ungkaya Pukan,6.5504,122.1065
143,Davao de Oro,Compostela,7.6684,126.0841
144,Davao de Oro,Laak (San Vicente),7.8179,125.7895
145,Davao de Oro,Mabini (Doña Alicia),7.2889,125.858
146,Davao de Oro,Maco,7.3624,125.8579
147,Davao de Oro,Maragusan (San Mariano),7.3654,126.0843
148,Davao de Oro,Mawab,7.5076,125.9207
149,Davao de Oro,Monkayo,7.8514,126.0458
150,Davao de Oro,Montevista,7.7345,125.9734
151,Davao de Oro,Nabunturan,7.6005,125.9846
152,Davao de Oro,New Bataan,7.5483,126.1379
153,Davao de Oro,Pantukan,7.1314,125.8972
154,Cotabato,Alamada,7.39,124.5497222
155,Cotabato,Aleosan,7.1522222,124.5813889
156,Cotabato,Antipas,7.245,125.0538889
157,Cotabato,Arakan,7.3513889,125.1261111
158,Cotabato,Banisilan,7.5058333,124.6947222
159,Cotabato,Carmen,7.2044444,124.7952778
160,Cotabato,Kabacan,7.1166667,124.8166667
161,Cotabato,Kidapawan,7.0083333,125.0916667
162,Cotabato,Libungan,7.2402778,124.5197222
163,Cotabato,Magpet,6.9463889,124.8783333
164,Cotabato,Makilala,7.1022222,125.1244444
165,Cotabato,Matalam,6.9613889,125.0858333
166,Cotabato,Midsayap,7.0986111,124.8997222
167,Cotabato,M'lang,7.1891667,124.535
168,Cotabato,Pigkawayan(Pigcawayan),7.2791667,124.4241667
169,Cotabato,Pikit,7.0536111,124.6722222
170,Cotabato,President Roxas,7.1541667,125.0552778
171,Cotabato,Tulunan,6.8305556,124.8727778
172,Davao del Sur,Bansalan,6.7863889,125.2127778
173,Davao del Sur,Davao,7.0638889,125.6083333
174,Davao del Sur,Digos,6.7441667,125.3563889
175,Davao del Sur,Hagonoy,6.6886111,125.2977778
176,Davao del Sur,Kiblawan,6.6197222,125.2519444
177,Davao del Sur,Magsaysay,6.7558333,125.15
178,Davao del Sur,Malalag,6.5986111,125.4
179,Davao del Sur,Matanao,6.7086111,125.2163889
180,Davao del Sur,Padada,6.6397222,125.3436111
181,Davao del Sur,Santa Cruz,6.8338889,125.4152778
182,Davao del Sur,Sulop,6.5988889,125.3466667
183,Davao Occidental,Don Marcelino,6.1025,125.5914
184,Davao Occidental,Jose Abad Santos(Trinidad),5.9129,125.6441
185,Davao Occidental,Malita,6.3843,125.5816
186,Davao Occidental,Santa Maria,6.4298,125.465
187,Davao Occidental,Sarangani,5.4188,125.4563
188,Davao Oriental,Baganga,7.5741667,126.5611111
189,Davao Oriental,Banaybanay,6.9605556,126.0072222
190,Davao Oriental,Boston,7.8688889,126.3733333
191,Davao Oriental,Caraga,7.3313889,126.5644444
192,Davao Oriental,Cateel,7.7897222,126.4525
193,Davao Oriental,Governor Generoso,6.6583333,126.0797222
194,Davao Oriental,Lupon,6.9027778,126.015
195,Davao Oriental,Manay,7.2138889,126.5391667
196,Davao Oriental,Mati,6.9613889,126.2147222
197,Davao Oriental,San Isidro,6.8352778,126.0894444
198,Davao Oriental,Tarragona,7.0494444,126.4488889
199,Dinagat Islands,Basilisa (Rizal),10.0668,125.6029
200,Dinagat Islands,Cagdianao,9.9166667,125.6666667
201,Dinagat Islands,Dinagat,9.95,125.6166667
202,Dinagat Islands,Libjo (Albor),10.1953,125.5325
203,Dinagat Islands,Loreto,10.3592,125.5793
204,Dinagat Islands,San Jose,10.0255,125.5986
205,Dinagat Islands,Tubajon,10.2934,125.5767
206,Lanao del Sur,Amai Manabilang (Bumbaran),7.7852778,124.6808333
207,Lanao del Sur,Bacolod-Kalawi (Bacolod-Grande),7.8575,124.1422222
208,Lanao del Sur,Balabagan,7.5080556,124.1280556
209,Lanao del Sur,Balindong (Watu),7.9102778,124.1997222
210,Lanao del Sur,Bayang,7.7936111,124.1986111
211,Lanao del Sur,Binidayan,7.7947222,124.1672222
212,Lanao del Sur,Buadiposo-Buntong,7.9666667,124.3833333
213,Lanao del Sur,Bubong,7.9830556,124.385
214,Lanao del Sur,Butig,7.7433333,124.3125
215,Lanao del Sur,Calanogas,7.7352778,124.0813889
216,Lanao del Sur,Ditsaan-Ramain,7.9788889,124.3516667
217,Lanao del Sur,Ganassi,7.8263889,124.1033333
218,Lanao del Sur,Kapai,8.0802778,124.405
219,Lanao del Sur,Kapatagan,7.45,124.1333333
220,Lanao del Sur,Lumba-Bayabao (Maguing),7.8636111,124.3725
221,Lanao del Sur,Lumbaca-Unayan,7.7238889,124.2386111
222,Lanao del Sur,Lumbatan,7.7855556,124.2563889
223,Lanao del Sur,Lumbayanague,7.7713889,124.2813889
224,Lanao del Sur,Madalum,7.8536111,124.1130556
225,Lanao del Sur,Madamba,7.8661111,124.0627778
226,Lanao del Sur,Maguing,7.8852778,124.4025
227,Lanao del Sur,Malabang,7.5963889,124.0736111
228,Lanao del Sur,Marantao,7.9483333,124.2311111
229,Lanao del Sur,Marawi,8.0033333,124.2866667
230,Lanao del Sur,Marogong,7.6775,124.15
231,Lanao del Sur,Masiu,7.8183333,124.3319444
232,Lanao del Sur,Mulondo,7.9175,124.3619444
233,Lanao del Sur,Pagayawan (Tatarikan),7.7383333,124.115
234,Lanao del Sur,Piagapo,7.9897222,124.18
235,Lanao del Sur,Picong (Sultan Gumander),7.6847222,123.9358333
236,Lanao del Sur,Poona Bayabao (Gata),7.8513889,124.3391667
237,Lanao del Sur,Pualas,7.82,124.0797222
238,Lanao del Sur,Saguiaran,8.0341667,124.2686111
239,Lanao del Sur,Sultan Dumalondong,7.7569444,124.2577778
240,Lanao del Sur,Tagoloan II,8.0883333,124.4583333
241,Lanao del Sur,Tamparan,7.8763889,124.3361111
242,Lanao del Sur,Taraka,7.8988889,124.3344444
243,Lanao del Sur,Tubaran,7.6972222,124.1136111
244,Lanao del Sur,Tugaya,7.8836111,124.1777778
245,Lanao del Sur,Wao,7.6397222,124.7233333
246,Maguindanao,Ampatuan,6.8327,124.4594
247,Maguindanao,Barira,7.487,124.299
248,Maguindanao,Buldon,7.5093,124.3714
249,Maguindanao,Buluan,6.7433,124.8017
250,Maguindanao,Datu Abdullah Sangki,6.7787,124.4768
251,Maguindanao,Datu Anggal Midtimbang,7.0105,124.3474
252,Maguindanao,Datu Blah T. Sinsuat,6.8653,124.0196
253,Maguindanao,Datu Hoffer Ampatuan(← Shariff Aguak),6.8595,124.4341
254,Maguindanao,Datu Odin Sinsuat(Dinaig),7.2166667,124.1838889
255,Maguindanao,Datu Paglas,6.7669444,124.85
256,Maguindanao,Datu Piang,7.0289,124.4995
257,Maguindanao,Datu Salibo (← Datu Piang),6.9961,124.4834
258,Maguindanao,Datu Saudi-Ampatuan,6.9262,124.414
259,Maguindanao,Datu Unsay,6.9122,124.4531
260,Maguindanao,General Salipada K. Pendatun,6.7873,124.7954
261,Maguindanao,Guindulungan,6.9541,124.3865
262,Maguindanao,Kabuntalan (Tumbao),7.1176,124.3844
263,Maguindanao,Mamasapano,6.8949,124.5047
264,Maguindanao,Mangudadatu,6.57417,124.825
265,Maguindanao,Matanog,7.4671,124.2589
266,Maguindanao,Northern Kabuntalan,7.1308,124.3976
267,Maguindanao,Pagagawan (Datu Montawal),7.1047,124.763
268,Maguindanao,Pagalungan,6.9693,124.752
269,Maguindanao,Paglat,6.7,124.7833
270,Maguindanao,Pandag,6.7763,124.7851
271,Maguindanao,Parang,7.3331,124.231
272,Maguindanao,Rajah Buayan,6.91083,124.55083
273,Maguindanao,Shariff Aguak(Maganoy),6.8611,124.4446
274,Sarangani,Alabel,6.185,125.3466
275,Sarangani,Glan,5.8225,125.2046
276,Sarangani,Kiamba,6.0234,124.6414
277,Sarangani,Maasim,5.9267,124.9948
278,Sarangani,Maitum,6.1241,124.4864
279,Sarangani,Malapatan,5.9663,125.2854
280,Sarangani,Malungon,6.3752,125.2717
281,South Cotabato,Banga,6.4236111,124.7733333
282,South Cotabato,General Santos(Dadiangas),6.1138889,125.1716667
283,South Cotabato,Koronadal,6.5002778,124.8436111
284,South Cotabato,Lake Sebu,6.2247222,124.7116667
285,South Cotabato,Norala,6.5188889,124.6566667
286,South Cotabato,Polomolok,6.2141667,125.0644444
287,South Cotabato,Santo Niño,6.4380556,124.6733333
288,South Cotabato,Surallah,6.3755556,124.7472222
289,South Cotabato,Tampakan,6.2136111,124.8225
290,South Cotabato,Tantangan,6.4438889,124.9272222
291,South Cotabato,T'Boli,6.5633333,124.7683333
292,South Cotabato,Tupi,6.3311111,124.9508333
293,Sultan Kudarat,Bagumbayan,6.5402778,124.5669444
294,Sultan Kudarat,Columbio,6.6316667,124.9741667
295,Sultan Kudarat,Esperanza,6.7225,124.5205556
296,Sultan Kudarat,Isulan,6.6338889,124.5972222
297,Sultan Kudarat,Kalamansig,6.555,124.0497222
298,Sultan Kudarat,Lambayong (Mariano Marcos),6.7983333,124.6325
299,Sultan Kudarat,Lebak,6.6325,124.0661111
